gnome-desktop-common 1:44.0-1
gnupg 2.4.5-1
gnustep-base 1.29.0-3
gnutls 3.8.5-1
go 2:1.22.2-1
gobject-introspection-runtime 1.80.1-1
google-cloud-sdk 404.0.0-1
gperf 3.1-5
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.10-1
graphene 1.10.8-1
graphite 1:1.3.14-3
graphviz 10.0.1-1
grep 3.11-1
groff 1.23.0-5
grub 2:2.12-2
gsettings-desktop-schemas 46.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gssdp 1.6.3-1
gst-libav 1.24.1-2
gst-plugins-bad 1.24.1-2
gst-plugins-bad-libs 1.24.1-2
gst-plugins-base 1.24.1-2
gst-plugins-base-libs 1.24.1-2
gst-plugins-good 1.24.1-2
gstreamer 1.24.1-2
gtk-update-icon-cache 1:4.14.3-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtk4 1:4.14.3-1
gtkglext 1.2.0-14
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
gts 0.7.6.121130-2
guile 3.0.9-1
gulp 4.0.2-3
gumbo-parser 0.12.1-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gzip 1.13-2
harfbuzz 8.4.0-1
harfbuzz-icu 8.4.0-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
hiredis 1.2.0-2
hivex 1.3.23-4
htop 3.3.0-1
http-parser 2.9.4-2
hunspell 1.7.2-1
hwdata 0.381-1
hyfetch-git neofetch.7.3.3.r581.gf32df6e6-1
hyphen 2.8.8-5
i2c-tools 4.3-4
iana-etc 20240412-1
icu 74.2-2
ijs 0.35-6
imagemagick 7.1.1.31-1
imath 3.1.11-1
imlib2 1.12.2-2
inetutils 2.5-1
iniparser 4.1-5
intel-gmmlib 22.3.19-1
intel-media-driver 24.2.1-1
intel-ucode 20240312-1
intel-undervolt 1.7-2
iproute2 6.8.0-1
iptables-nft 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
jansson 2.14-3
jasper 4.2.1-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jdk-openjdk 22.0.1.u0-1
jfsutils 1.1.15-9
jq 1.7.1-1
js115 115.9.0-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
kaccounts-integration 24.02.2-1
kactivities5 5.115.0-1
kactivitymanagerd 6.0.4-1
karchive 6.1.0-1
karchive5 5.115.0-1
kauth 6.1.0-1
kauth5 5.115.0-1
kbd 2.6.4-1
kbookmarks 6.1.0-1
kbookmarks5 5.115.0-1
kcmutils 6.1.0-1
kcmutils5 5.115.0-1
kcodecs 6.1.0-1
kcodecs5 5.115.0-1
kcolorscheme 6.1.0-1
kcompletion 6.1.0-1
kcompletion5 5.115.0-1
kconfig 6.1.0-1
kconfig5 5.115.0-1
kconfigwidgets 6.1.0-1
kconfigwidgets5 5.115.0-1
kcoreaddons 6.1.0-1
kcoreaddons5 5.115.0-1
kcrash 6.1.0-1
kcrash5 5.115.0-1
kdbusaddons 6.1.0-1
kdbusaddons5 5.115.0-1
kde-cli-tools 6.0.4-1
kde-gtk-config 6.0.4-1
kdeclarative 6.1.0-1
kdeclarative5 5.115.0-1
kdecoration 6.0.4-1
kded 6.1.0-1
kded5 5.115.0-1
kdeplasma-addons 6.0.4-1
kdesu 6.1.0-1
kdnssd 6.1.0-1
kdnssd5 5.115.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-2
kfilemetadata 6.1.0-1
kgamma 6.0.4-1
kglobalaccel 6.1.0-1
kglobalaccel5 5.115.0-3
kglobalacceld 6.0.4-1
kguiaddons 6.1.0-1
kguiaddons5 5.115.0-2
kholidays 1:6.1.0-1
ki18n 6.1.0-1
ki18n5 5.115.1-1
kiconthemes 6.1.0-1
kiconthemes5 5.115.0-1
kidletime 6.1.0-1
